Date,Open,High,Low,Close,Volume
13/10/2022 16:00:00,134.99,143.59,134.37,142.99,113223975
14/10/2022 16:00:00,144.31,144.52,138.19,138.38,88597969
17/10/2022 16:00:00,141.07,142.9,140.27,142.41,85250939
18/10/2022 16:00:00,145.49,146.7,140.61,143.75,99136610
19/10/2022 16:00:00,141.69,144.95,141.5,143.86,61758340
20/10/2022 16:00:00,143.02,145.89,142.65,143.39,64521989
21/10/2022 16:00:00,142.87,147.85,142.65,147.27,86548609
24/10/2022 16:00:00,147.19,150.23,146,149.45,75981918
25/10/2022 16:00:00,150.09,152.49,149.36,152.34,74732290
26/10/2022 16:00:00,150.96,151.99,148.04,149.35,88436172
27/10/2022 16:00:00,148.07,149.05,144.13,144.8,109180150
28/10/2022 16:00:00,148.2,157.5,147.82,155.74,164762371
31/10/2022 16:00:00,153.16,154.24,151.92,153.34,97943171
01/11/2022 16:00:00,155.08,155.45,149.13,150.65,80379345
02/11/2022 16:00:00,148.95,152.17,145,145.03,93604623
03/11/2022 16:00:00,142.06,142.8,138.75,138.88,97918516
04/11/2022 16:00:00,142.09,142.67,134.38,138.38,140814796
07/11/2022 16:00:00,137.11,139.15,135.67,138.92,83374628
08/11/2022 16:00:00,140.41,141.43,137.49,139.5,89908477
09/11/2022 16:00:00,138.5,138.55,134.59,134.87,74917794
10/11/2022 16:00:00,141.24,146.87,139.5,146.87,118854028
11/11/2022 16:00:00,145.82,150.01,144.37,149.7,93979665
14/11/2022 16:00:00,148.97,150.28,147.43,148.28,73374114
15/11/2022 16:00:00,152.22,153.59,148.56,150.04,89868332
16/11/2022 16:00:00,149.13,149.87,147.29,148.79,64218266
17/11/2022 16:00:00,146.43,151.48,146.15,150.72,80389400
18/11/2022 16:00:00,152.31,152.7,149.97,151.29,74829573
21/11/2022 16:00:00,150.16,150.37,147.72,148.01,58724070
22/11/2022 16:00:00,148.13,150.42,146.93,150.18,51804132
23/11/2022 16:00:00,149.45,151.83,149.34,151.07,58301395
25/11/2022 13:05:00,148.31,148.88,147.12,148.11,35195860
28/11/2022 16:00:00,145.14,146.64,143.38,144.22,69346522
29/11/2022 16:00:00,144.29,144.81,140.35,141.17,83763803
30/11/2022 16:00:00,141.4,148.72,140.55,148.03,111380880
01/12/2022 16:00:00,148.21,149.13,146.61,148.31,71250416
02/12/2022 16:00:00,145.96,148,145.65,147.81,65447446
05/12/2022 16:00:00,147.77,150.92,145.77,146.63,68826442
06/12/2022 16:00:00,147.07,147.3,141.92,142.91,64727186
07/12/2022 16:00:00,142.19,143.37,140,140.94,69721094
08/12/2022 16:00:00,142.36,143.52,141.1,142.65,62128338
09/12/2022 16:00:00,142.34,145.57,140.9,142.16,76097011
12/12/2022 16:00:00,142.7,144.5,141.06,144.49,70462654
13/12/2022 16:00:00,149.5,149.97,144.24,145.47,93886161
14/12/2022 16:00:00,145.35,146.66,141.16,143.21,82291182
